
#################################################################
------------------
Query Setting:
source: 0	target: 4	startTime: 0	TDSP: 21300	budget: 10082000% SP	SPValue: 2
Iter: 158	G size: 0	TotalProcessTimeSofar: 5088	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 159	G size: 0	TotalProcessTimeSofar: 5120	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 160	G size: 0	TotalProcessTimeSofar: 5152	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 161	G size: 0	TotalProcessTimeSofar: 5184	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 162	G size: 0	TotalProcessTimeSofar: 5216	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 163	G size: 0	TotalProcessTimeSofar: 5248	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 164	G size: 0	TotalProcessTimeSofar: 5280	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 165	G size: 0	TotalProcessTimeSofar: 5312	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 166	G size: 0	TotalProcessTimeSofar: 5344	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 167	G size: 0	TotalProcessTimeSofar: 5376	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 168	G size: 0	TotalProcessTimeSofar: 5408	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 169	G size: 0	TotalProcessTimeSofar: 5440	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 170	G size: 0	TotalProcessTimeSofar: 5472	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 171	G size: 0	TotalProcessTimeSofar: 5504	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 172	G size: 0	TotalProcessTimeSofar: 5536	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 173	G size: 0	TotalProcessTimeSofar: 5568	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 174	G size: 0	TotalProcessTimeSofar: 5600	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 175	G size: 0	TotalProcessTimeSofar: 5632	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 176	G size: 0	TotalProcessTimeSofar: 5664	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 177	G size: 0	TotalProcessTimeSofar: 5696	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 178	G size: 0	TotalProcessTimeSofar: 5728	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 179	G size: 0	TotalProcessTimeSofar: 5760	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
